Mark Collie, 1, 99.541
Terrie Kalbus, 1, 19.30896
A. Russell Andrews, 1, 398.164
Russell Durham Comegys, 1, 99.541
A. Michael Baldwin, 1, 77.23584
Bill Thornbury, 1, 57.92688
James Carpinello, 1, 199.082
Omar Avila, 1, 298.623
Kathy Lester, 1, 19.30896
Reggie Bannister, 1, 38.61792
